Samples,T1,T2,T5,T10,T15,L Max
1.0,4.092105,4.092105,4.1408653,5.659996,8.31452,25600.0
2.0,3.87649,3.87649,4.014793,7.5087314,9.571478,25600.0
3.0,19.19178,19.19178,19.487112,21.15913,25.600939,25600.0
4.0,10.694847,10.694847,10.694847,11.460082,12.75035,25600.0
5.0,0.0,0.0,0.0,1.8357593,7.1191344,25600.0
6.0,19.787218,19.787218,19.787218,19.787218,20.496262,25600.0
7.0,15.14794,15.14794,15.363666,15.611662,15.611662,25600.0
8.0,14.509363,14.509363,14.972206,15.049953,16.486347,25600.0
9.0,50.210075,50.210075,50.40005,51.345676,51.884438,25600.0
10.0,0.0,0.0,0.0,0.0,0.0,25600.0
11.0,22.008352,22.01187,22.520895,22.533125,22.533125,25600.0
12.0,11.121012,11.121012,11.121012,11.3195915,11.736681,25600.0
13.0,47.48464,47.48464,47.48464,47.48464,50.289333,25600.0
14.0,0.0,0.0,0.0,0.0,4.3394046,25600.0
15.0,7.8521624,7.8521624,7.8521624,8.712103,14.13717,25600.0
16.0,102.05118,102.353935,102.656624,103.235916,106.42006,25600.0
17.0,0.0,0.0,0.11835858,0.2679195,0.86769354,25600.0
18.0,0.0,0.0,0.0,0.13577461,0.13577461,25600.0
19.0,0.0,0.0,0.0,0.0,0.53752327,25600.0
20.0,17.584776,17.584776,18.049786,18.502123,28.688946,25600.0
21.0,11.769304,11.955467,13.046485,13.2318,13.730149,25600.0
22.0,0.0,0.0,0.0,0.0,0.0,25600.0
23.0,2.0900083,2.0900083,2.1671135,4.3143735,8.903045,25600.0
24.0,0.0,0.0,0.0,0.0,0.0,25600.0
25.0,2.6684186,2.6684186,2.8256724,5.809456,13.33402,25600.0
26.0,36.38915,36.38915,36.759243,37.04683,38.346165,25600.0
27.0,18.158722,18.158722,18.44375,18.635515,19.145046,25600.0
28.0,40.44773,40.44773,40.61359,40.746315,42.967068,25600.0
29.0,22.350004,22.41904,22.675335,27.077671,27.077671,25600.0
30.0,9.356234,9.5481415,9.739837,10.018114,13.675684,25600.0
31.0,0.0,0.0,0.0,0.0,0.0,25600.0
32.0,2.2713964,2.2713964,2.2713964,2.2713964,2.6774468,25600.0
33.0,0.0,0.0,0.0,0.0,0.0,25600.0
34.0,14.931181,14.931181,14.931181,14.931181,15.339242,25600.0
35.0,0.0,0.0,0.0,0.0,0.0,25600.0
36.0,0.0,0.0,0.14899832,0.675971,6.88038,25600.0
37.0,0.68324447,0.68324447,0.79641676,1.7925105,1.7925105,25600.0
38.0,1.5020559,1.5020559,1.5020559,1.5020559,3.1326041,25600.0
39.0,14.638484,14.638484,14.638484,14.890416,15.704479,25600.0
40.0,0.0,0.0,0.0,10.074558,10.074558,25600.0
41.0,6.5073633,6.5073633,6.5073633,6.5073633,6.8368773,25600.0
42.0,0.0,0.0,0.0,0.036111705,1.3900193,25600.0
43.0,4.2550387,4.2614636,4.6644983,4.6644983,4.9135666,25600.0
44.0,0.0,0.0,0.0,0.0,0.0,25600.0
45.0,102.412964,102.45145,102.70206,102.73316,103.216324,25600.0
46.0,0.0,0.0,0.0,0.0,0.0,25600.0
47.0,25.020702,25.443388,26.202433,26.664349,29.801758,25600.0
48.0,0.0,0.0,0.0,0.0,0.0,25600.0
49.0,45.2083,45.54464,45.54464,45.54464,46.711792,25600.0
50.0,21.533321,21.533321,21.533321,21.814686,22.955917,25600.0
51.0,0.0,0.0,0.0,0.0,0.0,25600.0
52.0,10.79758,10.79758,11.81072,11.878554,11.878554,25600.0
53.0,0.12851506,0.12851506,0.12851506,0.40024918,1.828444,25600.0
54.0,15.727261,15.727261,16.27995,16.43835,19.572256,25600.0
55.0,5.4238844,5.4238844,5.4238844,6.446853,12.541313,25600.0
56.0,0.0,0.0,0.0,0.0,0.0,25600.0
57.0,6.9770374,6.9770374,6.9770374,8.184103,12.792981,25600.0
58.0,5.4131556,5.4131556,5.4131556,5.4131556,10.202306,25600.0
59.0,0.0,0.0,0.0,0.0,0.0,25600.0
60.0,0.0,0.0,0.0,0.0,0.0,25600.0
61.0,0.0,0.0,0.0,0.0,0.0,25600.0
62.0,13.839869,13.839869,13.839869,14.540041,15.85751,25600.0
63.0,4.2466435,4.2466435,4.2466435,5.058812,9.058311,25600.0
64.0,4.3045664,4.3045664,4.6270885,5.988151,6.653296,25600.0
65.0,0.0,0.0,0.0,0.4051298,7.65689,25600.0
66.0,0.0,0.0,0.0,0.0,0.16018587,25600.0
67.0,7.214848,7.29252,7.8573523,9.230599,16.56302,25600.0
68.0,0.0,0.0,0.0,0.0,3.3478136,25600.0
69.0,48.536095,48.536095,48.67029,49.95514,50.58783,25600.0
70.0,15.244364,15.33563,15.463383,15.463383,15.504108,25600.0
71.0,45.817856,45.817856,45.817856,47.438965,49.9419,25600.0
72.0,6.483671,6.483671,6.483671,6.5589337,9.185558,25600.0
73.0,0.35699555,0.35699555,0.4773582,0.49857783,1.39969,25600.0
74.0,0.0,0.0,0.0,0.24892041,0.24892041,25600.0
75.0,0.0,0.0,0.0,0.089166194,0.5491016,25600.0
76.0,11.408343,11.408343,12.513092,12.677348,12.677348,25600.0
77.0,0.0,0.0,0.0,1.4837005,8.350487,25600.0
78.0,0.0,0.0,0.0,0.38758868,2.1006653,25600.0
79.0,4.5060325,4.5060325,4.5060325,4.5603952,9.478909,25600.0
80.0,7.9569945,7.9569945,7.9569945,9.217534,15.137818,25600.0
81.0,2.6423883,2.6423883,2.6423883,3.20053,5.8828044,25600.0
82.0,110.16827,110.16827,110.604385,110.840485,118.689186,25600.0
