Samples,T1,T2,T5,T10,T15,L Max
1.0,2.687011,2.687011,2.687011,4.7621384,6.9525523,12800.0
2.0,0.0,0.0,0.0,0.0,7.0716925,12800.0
3.0,0.0,0.0,0.0,0.0,0.0,12800.0
4.0,3.2751956,3.2751956,3.2751956,3.5008917,6.525516,12800.0
5.0,4.451826,4.451826,4.451826,5.8843627,6.333251,12800.0
6.0,2.6311147,2.6311147,3.0054998,3.048944,3.1824155,12800.0
7.0,0.0,0.0,0.30032027,0.7449154,1.6499939,12800.0
8.0,0.0,0.0,0.0,0.0,0.0,12800.0
9.0,5.2558484,5.2558484,5.2558484,5.4772224,5.667019,12800.0
10.0,2.0558157,2.0614514,2.521881,2.8903766,2.8903766,12800.0
11.0,29.268585,29.268585,29.569275,29.777266,29.938503,12800.0
12.0,1.2179906,1.2179906,1.2179906,1.8488646,7.7130866,12800.0
13.0,49.689793,49.689793,49.689793,49.856396,51.80188,12800.0
14.0,0.0,0.0,0.0,1.8002663,3.5161705,12800.0
15.0,0.36060047,0.5635836,0.5635836,1.486448,1.6816914,12800.0
16.0,3.155337,3.155337,3.155337,3.155337,3.4968934,12800.0
17.0,6.5144377,6.5144377,7.0215025,7.0313063,7.533963,12800.0
18.0,0.0,0.0,0.11882686,0.24688935,6.3882656,12800.0
19.0,12.598444,12.598444,12.598444,12.696167,13.5738,12800.0
20.0,26.425922,26.425922,26.425922,26.425922,29.503828,12800.0
21.0,0.0,0.0,0.0,0.0,2.227507,12800.0
22.0,67.02197,67.05955,67.05955,67.39862,68.17146,12800.0
23.0,5.319573,5.319573,5.319573,5.879048,5.879048,12800.0
24.0,5.7971725,5.7971725,5.7971725,5.7971725,5.8151584,12800.0
25.0,0.0,0.0,0.0,0.08276725,0.08829558,12800.0
26.0,0.0,0.0,0.0,0.0,0.0,12800.0
27.0,9.620671,9.620671,9.706339,9.706339,9.983464,12800.0
28.0,28.970087,29.016798,29.781557,31.308,31.308,12800.0
29.0,0.0,0.0,0.0,0.0,0.0,12800.0
30.0,21.22922,21.22922,21.22922,22.650036,23.381546,12800.0
31.0,17.725103,17.725103,17.725103,18.2647,18.2647,12800.0
32.0,4.4891257,4.8094525,5.2446666,6.880251,10.304393,12800.0
33.0,8.743891,8.743891,9.213667,9.612663,19.138697,12800.0
34.0,3.8350782,3.8350782,4.260108,4.443983,4.443983,12800.0
35.0,14.6640215,14.6640215,15.111293,16.274319,16.274319,12800.0
36.0,3.5224628,4.841949,6.182801,6.182801,6.182801,12800.0
37.0,0.0,0.0,0.0,0.0,0.0,12800.0
38.0,51.535748,51.535748,51.535748,51.62761,53.60101,12800.0
39.0,0.0,0.0,0.08367252,0.8931539,0.8931539,12800.0
40.0,4.474944,4.474944,4.474944,5.8378553,8.570239,12800.0
41.0,0.0,0.0,0.0,0.0,0.0,12800.0
42.0,0.0,0.0,0.0,0.0,11.149185,12800.0
