Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.0,800.0
2.0,0.0,0.0,0.0,0.0,0.0,800.0
3.0,0.0,0.0,0.0,0.0,0.49662542,800.0
4.0,0.0,0.0,0.0,0.0,0.0,800.0
5.0,0.0,0.0,0.0,0.0,0.0,800.0
6.0,0.0,0.0,0.0,0.0,0.0,800.0
7.0,0.0,0.0,0.0,0.24202982,3.576118,800.0
8.0,0.0,0.0,0.0,0.0,0.0,800.0
9.0,0.0,0.0,0.0,0.0,0.11026049,800.0
10.0,16.336052,16.36199,16.475512,16.836782,17.300953,800.0
11.0,0.0,0.0,0.0,0.0,0.0,800.0
12.0,28.77428,28.77428,28.77428,28.77428,29.7524,800.0
13.0,8.298798,8.298798,8.298798,8.43548,8.43548,800.0
14.0,3.2398589,3.2398589,3.2398589,5.1243677,5.1243677,800.0
15.0,1.7828579,1.7828579,1.7828579,1.7828579,7.5772552,800.0
16.0,0.0,0.0,0.0,0.0,0.0,800.0
17.0,0.0,0.0,0.0,0.7684566,0.7684566,800.0
18.0,0.0,0.0,0.0,0.0,0.0,800.0
19.0,0.0,0.0,0.0,0.0,0.8889499,800.0
20.0,0.0,0.0,0.0,0.0,0.0,800.0
21.0,0.0,0.0,0.0,0.0,0.0,800.0
22.0,0.0,0.0,0.0,0.0,0.0,800.0
23.0,0.0,0.0,0.0,0.0,0.11433554,800.0
24.0,0.0,0.0,0.0,0.0,12.2318325,800.0
25.0,0.0,0.0,0.0,0.0,0.0,800.0
26.0,0.0,0.0,0.0,0.0,0.0,800.0
27.0,0.0,0.0,0.0,0.77398384,5.3663816,800.0
28.0,0.0,0.0,0.0,0.0,0.0,800.0
29.0,0.0,0.0,0.0,0.0,0.0,800.0
30.0,0.0,0.0,0.0,0.0,3.2700899,800.0
31.0,0.0,0.0,0.0,0.0,0.0,800.0
32.0,0.0,0.0,0.0,0.17845654,0.53017294,800.0
33.0,0.0,0.0,0.0,0.0,0.0,800.0
34.0,0.0,0.0,0.0,0.0,0.0,800.0
35.0,0.0,0.0,0.0,0.0,0.0,800.0
36.0,0.0,0.0,0.0,0.0,0.0,800.0
37.0,0.0,0.0,0.0,0.0,0.0,800.0
38.0,0.0,0.0,0.0,0.0,0.0,800.0
39.0,24.942335,24.942335,24.946108,25.118086,25.584106,800.0
40.0,32.24671,32.24671,32.24671,32.24671,36.27915,800.0
41.0,0.0,0.0,0.0,0.0,0.0,800.0
42.0,2.2282584,2.2282584,2.4276414,2.4336715,2.4453328,800.0
43.0,0.0,0.0,0.0,0.0,0.6085322,800.0
44.0,0.0,0.0,0.0,0.0,0.0,800.0
45.0,0.0,0.0,0.0,0.0,0.0,800.0
46.0,0.0,0.0,0.0,0.0,0.0,800.0
47.0,0.0,0.0,0.0,0.0,0.0,800.0
48.0,5.927926,5.927926,6.6908593,7.0735636,16.987663,800.0
49.0,0.0,0.0,0.0,0.0,0.0,800.0
50.0,0.049536705,0.049536705,0.049536705,0.56524456,6.878875,800.0
51.0,0.0,0.0,0.0,0.0,1.1660441,800.0
52.0,0.0,0.0,0.0,0.0,0.0,800.0
53.0,0.0,0.0,0.0,0.7273945,6.224367,800.0
54.0,2.5836232,2.5836232,2.5836232,2.6007254,2.8391435,800.0
55.0,0.0,0.0,0.0,1.2338157,1.2338157,800.0
56.0,0.0,0.0,0.0,0.0,0.6265719,800.0
57.0,0.26220816,0.26220816,0.26220816,0.33516318,0.33516318,800.0
58.0,0.0,0.0,0.0,0.0,0.0,800.0
59.0,0.0,0.0,0.0,0.0,0.0,800.0
60.0,0.0,0.0,0.0,1.0458251,3.1263525,800.0
61.0,0.0,0.0,0.0,0.0,0.0,800.0
62.0,0.0,0.0,0.0,0.26902276,4.932814,800.0
63.0,0.0,0.0,0.0,0.0,0.0,800.0
64.0,8.773972,8.773972,8.773972,8.957314,8.957314,800.0
65.0,0.0,0.0,0.0,0.0,0.0,800.0
66.0,0.55577505,0.55577505,0.55577505,4.4373636,4.4373636,800.0
67.0,0.0,0.0,0.0,0.0,1.4457805,800.0
68.0,0.1475873,0.1475873,0.1475873,1.9733593,1.9733593,800.0
69.0,0.0,0.0,0.0,0.0,0.0,800.0
70.0,6.4661417,6.4661417,6.4661417,6.6897,8.379118,800.0
71.0,0.0,0.0,0.0,0.0,0.0,800.0
72.0,0.67207885,0.67207885,0.67207885,1.0026939,4.5512705,800.0
73.0,0.0,0.0,0.0,0.0,2.6264753,800.0
74.0,0.0,0.0,0.0,0.0,0.0,800.0
75.0,0.0,0.0,0.0,0.0,0.0,800.0
76.0,0.0,0.0,0.0,0.0,0.0,800.0
77.0,0.0,0.0,0.0,0.0,0.0,800.0
78.0,0.0,0.0,0.0,0.0,0.0,800.0
79.0,0.0,0.0,0.0,0.0,0.0,800.0
80.0,0.0,0.0,0.0,0.0,0.0,800.0
81.0,0.0,0.0,0.0,0.0,1.087923,800.0
82.0,0.0,0.0,0.0,0.0,0.0,800.0
83.0,0.0,0.0,0.0,0.6403118,2.3334634,800.0
84.0,0.0,0.10939188,0.10939188,1.0187876,6.929343,800.0
85.0,0.0,0.0,0.0,0.0,3.5332372,800.0
86.0,0.0,0.0,0.0,0.0,0.0,800.0
87.0,0.0,0.0,0.0,0.0,0.0,800.0
88.0,0.0,0.0,0.0,0.0,0.95819473,800.0
89.0,0.0,0.0,0.0,0.0,0.0,800.0
90.0,22.710081,22.710081,22.710081,22.710081,24.398144,800.0
91.0,0.0,0.0,0.0,0.0,0.0,800.0
92.0,14.3574295,14.3574295,14.411896,14.411896,14.988102,800.0
93.0,0.0,0.0,0.0,0.0,0.0,800.0
94.0,0.0,0.0,0.0,0.0,0.0,800.0
95.0,0.0,0.0,0.0,0.0,3.7025433,800.0
96.0,4.759984,4.759984,4.759984,5.3353004,10.49042,800.0
97.0,0.0,0.0,0.0,0.0,0.0,800.0
98.0,0.0,0.0,0.0,0.0,0.0,800.0
99.0,0.0,0.0,0.0,0.0,0.0,800.0
100.0,0.0,0.0,0.0,0.0,0.0,800.0
101.0,0.0,0.0,0.0,0.0,0.0,800.0
102.0,0.0,0.0,0.0,0.0,0.0,800.0
103.0,0.0,0.0,0.0,0.0,0.08993688,800.0
104.0,0.0,0.0,0.0,0.0,0.0,800.0
105.0,0.0,0.0,0.0,0.0,0.0,800.0
106.0,0.0,0.0,0.0,0.0,0.0,800.0
107.0,13.3011265,13.3011265,13.3011265,13.674204,14.120142,800.0
108.0,0.0,0.0,0.0,0.0,0.0,800.0
109.0,0.0,0.0,0.0,0.0,0.0,800.0
110.0,0.0,0.0,0.0,0.0,0.0,800.0
111.0,0.0,0.0,0.0,0.0,0.0,800.0
112.0,3.1265557,3.1265557,3.1265557,3.1265557,3.3860931,800.0
