Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.0,800.0
2.0,0.0,0.0,0.0,0.0,0.0,800.0
3.0,29.234745,29.234745,29.234745,29.631104,31.42313,800.0
4.0,0.0,0.0,0.0,0.0,0.3509196,800.0
5.0,0.0,0.0,0.0,0.0,0.0,800.0
6.0,0.0,0.0,0.0,0.0,6.1379013,800.0
7.0,0.0,0.0,0.0,0.0,0.0,800.0
8.0,0.0,0.0,0.0,0.0,0.0,800.0
9.0,0.0,0.0,0.0,0.0,0.0,800.0
10.0,0.0,0.0,0.0,0.0,0.0,800.0
11.0,0.0,0.0,0.0,0.0,0.0,800.0
12.0,0.29007572,0.29007572,0.29007572,0.29007572,5.719548,800.0
13.0,0.0,0.0,0.0,0.0,7.657816,800.0
14.0,0.0,0.0,0.0,7.6600876,7.6600876,800.0
15.0,0.0,0.0,0.0,5.279764,5.2852144,800.0
16.0,0.0,0.0,0.0,0.0,0.0,800.0
17.0,0.21026099,0.21026099,0.21026099,0.21026099,2.0212965,800.0
18.0,0.0,0.0,0.0,0.0,0.0,800.0
19.0,0.0,0.0,0.0,0.0,0.0,800.0
20.0,0.0,0.0,0.0,0.0,0.0,800.0
21.0,0.0,0.0,0.0,0.0,0.0,800.0
22.0,0.0,0.0,0.0,0.0,0.0,800.0
23.0,0.0,0.0,0.0,0.0,9.857647,800.0
24.0,0.0,0.0,0.0,0.0,0.91431636,800.0
25.0,0.0,0.0,0.0,0.0,0.0,800.0
26.0,0.0,0.0,0.0,0.0,0.0,800.0
27.0,0.0,0.0,0.0,0.0,0.0,800.0
28.0,0.0,0.0,0.0,0.0,0.0,800.0
29.0,0.0,0.0,0.0,0.0,0.0,800.0
30.0,0.0,0.0,0.0,0.0,0.0,800.0
31.0,0.0,0.0,0.0,0.0,0.0,800.0
32.0,0.016009152,0.016009152,0.016009152,2.1612298,2.1612298,800.0
33.0,0.0,0.0,0.0,0.0,0.0,800.0
34.0,0.0,0.0,0.0,0.0,0.0,800.0
35.0,0.0,0.0,0.0,0.0,0.0,800.0
36.0,0.0,0.0,0.0,0.0,0.0,800.0
37.0,0.0,0.0,0.0,0.0,0.0,800.0
38.0,0.0,0.0,0.0,0.0,6.1872797,800.0
39.0,0.0,0.0,0.0,0.0,0.0,800.0
40.0,3.813541,3.813541,3.813541,3.813541,5.163256,800.0
41.0,0.0,0.0,0.0,0.0,0.0,800.0
42.0,0.0,0.0,0.0,0.0,0.11225228,800.0
43.0,0.0,0.0,0.0,0.0,0.0,800.0
44.0,0.0,0.0,0.0,0.0,0.0,800.0
45.0,0.0,0.0,0.0,0.0,0.0,800.0
46.0,0.0,0.0,0.0,0.0,0.0,800.0
47.0,0.0,0.0,0.0,0.0,0.0,800.0
48.0,0.0,0.0,0.0,0.0,0.0,800.0
49.0,0.0,0.0,0.0,0.0,0.0,800.0
50.0,0.0,0.0,0.0,0.39139956,0.39139956,800.0
51.0,0.0,0.0,0.0,0.0,0.0,800.0
52.0,0.0,0.0,0.0,0.0,0.0,800.0
53.0,0.0,0.0,0.0,0.0,0.0,800.0
54.0,0.0,0.0,0.0,0.0,0.0,800.0
55.0,0.0,0.0,0.0,0.0,0.46438944,800.0
56.0,0.0,0.0,0.0,0.0,3.4812052,800.0
57.0,0.0,0.0,0.0,0.0,0.0,800.0
58.0,0.0,0.0,0.0,0.0,0.0,800.0
59.0,2.434997,2.434997,2.434997,3.1464329,3.1464329,800.0
60.0,0.0,0.0,0.0,0.0,0.0,800.0
61.0,0.0,0.0,0.0,0.0,0.0,800.0
62.0,0.0,0.0,0.0,0.0,0.0,800.0
63.0,0.0,0.0,0.0,0.0,0.0,800.0
64.0,0.0,0.0,0.0,0.0,0.0,800.0
65.0,0.0,0.0,0.0,0.0,0.0,800.0
66.0,0.0,0.0,0.0,5.9399986,5.9399986,800.0
67.0,34.394844,34.394844,34.758644,34.830837,37.084442,800.0
68.0,0.0,0.0,0.0,0.0,0.0,800.0
69.0,0.0,0.0,0.0,0.0,0.0,800.0
70.0,0.0,0.0,0.0,0.0,0.0,800.0
71.0,0.0,0.0,0.0,0.0,0.0,800.0
72.0,0.0,0.0,0.0,0.082052946,10.863548,800.0
73.0,0.0,0.0,0.0,0.0,0.0,800.0
74.0,0.0,0.0,0.0,0.0,0.0,800.0
75.0,0.0,0.0,0.0,0.0,0.0,800.0
76.0,0.0,0.0,0.0,0.0,0.0,800.0
77.0,0.0,0.0,0.0,0.0,0.0,800.0
78.0,0.0,0.0,0.0,0.7818288,0.7818288,800.0
79.0,0.0,0.0,0.0,0.0,0.0,800.0
80.0,0.0,0.0,0.0,0.0,0.0,800.0
81.0,0.0,0.0,0.0,0.0,0.0,800.0
82.0,0.0,0.0,0.0,0.0,1.4239929,800.0
83.0,0.0,0.0,0.0,0.0,0.19412702,800.0
84.0,0.0,0.0,0.08724643,0.9972954,0.9972954,800.0
85.0,0.0,0.0,0.0,0.0,0.16768205,800.0
86.0,0.0,0.0,0.0,0.0,0.0,800.0
87.0,0.0,0.0,0.0,0.0,0.0,800.0
88.0,0.0,0.0,0.0,0.0,0.0,800.0
89.0,0.0,0.0,0.0,0.0,0.0,800.0
90.0,0.0,0.0,0.0,0.0,0.0,800.0
91.0,0.0,0.0,0.0,0.0,0.0,800.0
92.0,0.0,0.0,0.0,0.0,15.302267,800.0
93.0,0.0,0.0,0.0,0.0,3.7504864,800.0
94.0,0.0,0.0,0.0,0.0,0.0,800.0
95.0,0.0,0.0,0.0,0.0,0.0,800.0
96.0,36.659325,36.659325,36.659325,36.85511,38.38443,800.0
97.0,0.0,0.0,0.0,0.0,0.0,800.0
98.0,0.0,0.0,0.0,0.0,0.0,800.0
99.0,0.0,0.0,0.0,0.0,0.0,800.0
100.0,0.0,0.0,0.0,0.0,0.0,800.0
101.0,0.0,0.0,0.0,0.0,2.6511312,800.0
102.0,0.0,0.0,0.0,0.0,0.0,800.0
103.0,0.0,0.0,0.0,0.0,0.0,800.0
104.0,0.0,0.0,0.0,0.0,0.0,800.0
105.0,0.0,0.0,0.0,0.0,0.0,800.0
106.0,0.0,0.0,0.0,0.0,0.0,800.0
107.0,0.0,0.0,0.0,0.0,5.941445,800.0
108.0,0.0,0.0,0.0,0.0,0.0,800.0
109.0,0.0,0.0,0.0,0.0,0.0,800.0
110.0,0.0,0.0,0.0,0.0,0.0,800.0
111.0,0.0,0.0,0.0,0.0,0.0,800.0
112.0,0.0,0.0,0.0,0.0,1.6250228,800.0
113.0,0.0,0.0,0.0,0.0,0.0,800.0
114.0,0.0,0.0,0.0,0.0,2.0605462,800.0
115.0,0.0,0.0,0.0,0.0,0.0,800.0
116.0,0.0,0.0,0.0,0.0,0.0,800.0
