Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.0,204800.0
2.0,337.85135,337.85135,337.85135,338.0162,338.40317,204800.0
3.0,21.6649,21.6649,21.90234,22.92128,22.92128,204800.0
4.0,431.69083,431.69083,431.97858,433.97784,434.7482,204800.0
5.0,159.45993,159.45993,159.984,161.97469,161.97469,204800.0
6.0,578.92957,579.0814,579.14594,579.51697,579.51697,204800.0
7.0,9.8574915,9.8574915,10.245426,10.259459,46.145172,204800.0
8.0,0.0,0.0,0.0,0.0,0.0,204800.0
9.0,0.0,0.0,0.00901258,1.0998135,1.0998135,204800.0
10.0,158.91858,158.91858,158.91858,160.92133,160.92133,204800.0
11.0,47.262794,47.262794,47.262794,47.901127,47.901127,204800.0
12.0,0.0,0.0,0.0,0.0,2.9457839,204800.0
13.0,28.685188,28.685188,29.035475,29.049707,29.436584,204800.0
14.0,88.846535,89.07769,89.21506,89.44602,89.64357,204800.0
15.0,3.5390341,3.5390341,3.5390341,3.5390341,4.6173477,204800.0
16.0,10.1019335,10.1019335,10.1019335,11.20296,22.427416,204800.0
17.0,174.24945,174.66634,174.66634,175.39194,175.39194,204800.0
18.0,266.27786,266.437,266.57465,267.96982,274.48807,204800.0
19.0,198.0515,198.0515,198.0515,198.0515,215.03143,204800.0
20.0,397.7715,397.7715,398.88217,399.69418,400.24664,204800.0
21.0,135.84193,135.84193,135.92549,136.24928,138.11919,204800.0
22.0,6.5341763,6.5341763,6.5341763,6.5341763,7.8538547,204800.0
23.0,2.7962472,2.7962472,2.9554448,4.232099,29.337423,204800.0
24.0,256.28815,256.49347,256.52924,256.68048,257.00717,204800.0
25.0,91.269844,91.269844,91.73454,91.96367,91.96367,204800.0
26.0,57.798325,57.798325,57.95609,58.321,61.491276,204800.0
27.0,88.71824,88.71824,88.87803,93.51393,101.876045,204800.0
28.0,0.0,0.0,0.0,0.2431944,0.2431944,204800.0
29.0,0.0,0.0,0.0,0.0,0.0,204800.0
30.0,33.23558,33.23558,33.23558,33.637737,34.728237,204800.0
31.0,0.8923399,0.8923399,0.8923399,6.1019516,17.74231,204800.0
32.0,0.0,0.0,0.0,0.25906503,6.8824053,204800.0
33.0,110.58585,110.58585,110.58585,117.89991,117.89991,204800.0
34.0,8.455832,8.455832,8.455832,8.698798,9.492279,204800.0
35.0,234.39465,234.39465,234.39465,234.743,235.95685,204800.0
36.0,239.76042,239.76042,239.76042,240.13747,242.19453,204800.0
37.0,222.93692,222.93692,222.93692,222.93692,223.64413,204800.0
38.0,81.973274,81.997185,82.06068,82.61049,82.61049,204800.0
39.0,89.15677,89.15677,89.15677,90.53982,91.47448,204800.0
40.0,0.0,0.0,0.13397151,0.81270874,0.81270874,204800.0
41.0,53.845783,54.146496,54.146496,54.351494,54.351494,204800.0
42.0,0.0,0.0,0.0,0.0,0.6888144,204800.0
43.0,20.51178,20.51178,20.51178,21.32148,24.417887,204800.0
44.0,19.348585,19.348585,19.348585,19.41836,24.283012,204800.0
45.0,435.36676,435.36676,435.36676,435.75534,436.29855,204800.0
46.0,0.0,0.0,0.0,0.0,0.0,204800.0
47.0,0.0,0.0,0.0,0.0,0.0,204800.0
48.0,237.38916,237.46054,237.52917,237.62376,238.42577,204800.0
49.0,42.74959,42.758648,42.923805,46.398327,55.675053,204800.0
50.0,8.32076,8.32076,8.32076,9.494828,9.494828,204800.0
51.0,0.0,0.0,0.0,0.0,0.0,204800.0
52.0,13.583628,13.583628,13.583628,14.061267,15.983028,204800.0
53.0,0.0,0.0,0.0,0.0,0.12845506,204800.0
54.0,463.64075,463.64075,463.64075,463.97256,463.97256,204800.0
55.0,100.73273,100.73273,100.73273,101.12509,135.62866,204800.0
56.0,0.08495426,0.08495426,0.08495426,0.28111827,0.77272606,204800.0
57.0,97.30362,97.30362,97.5616,97.970535,98.0428,204800.0
58.0,30.194746,30.194746,30.194746,30.194746,30.421862,204800.0
59.0,0.0,0.0,0.0,0.109117866,2.3699505,204800.0
60.0,224.65048,224.65048,224.65048,225.8384,225.8384,204800.0
61.0,0.0,0.0,0.0,0.0,0.0,204800.0
62.0,205.78365,205.78365,205.78365,205.78365,207.38052,204800.0
63.0,0.0,0.0,0.0,0.0,0.0,204800.0
64.0,0.74486685,0.799042,0.84446263,5.8669014,5.8669014,204800.0
65.0,0.0,0.0,0.0,0.0,0.40530494,204800.0
66.0,12.358959,12.358959,12.779006,13.697949,13.697949,204800.0
67.0,26.982828,26.982828,26.982828,27.908394,27.908394,204800.0
