Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.0,200.0
2.0,0.0,0.0,0.0,0.0,0.0,200.0
3.0,0.0,0.0,0.0,0.0,0.0,200.0
4.0,0.0,0.0,0.0,0.0,0.0,200.0
5.0,0.0,0.0,0.0,0.0,0.0,200.0
6.0,0.0,0.0,0.0,0.0,0.0,200.0
7.0,0.0,0.0,0.0,0.18170628,0.7651621,200.0
8.0,0.0,0.0,0.0,0.0,0.0,200.0
9.0,0.0,0.0,0.0,0.0,0.0,200.0
10.0,0.0,0.0,0.0,0.0,0.0,200.0
11.0,0.0,0.0,0.0,0.0,0.0,200.0
12.0,12.572651,12.572651,12.572651,12.572651,13.550769,200.0
13.0,0.0,0.0,0.0,0.0,0.0,200.0
14.0,0.0366261,0.0366261,0.0366261,1.9211348,1.9211348,200.0
15.0,0.0,0.0,0.0,0.0,2.3628955,200.0
16.0,0.0,0.0,0.0,0.0,0.0,200.0
17.0,0.0,0.0,0.0,0.0,0.48223668,200.0
18.0,0.0,0.0,0.0,0.0,0.0,200.0
19.0,0.0,0.0,0.0,0.0,0.0,200.0
20.0,0.0,0.0,0.0,0.0,0.0,200.0
21.0,0.0,0.0,0.0,0.0,0.0,200.0
22.0,0.0,0.0,0.0,0.0,0.0,200.0
23.0,0.0,0.0,0.0,0.0,0.0,200.0
24.0,0.0,0.0,0.0,0.0,12.163163,200.0
25.0,0.0,0.0,0.0,0.0,0.0,200.0
26.0,0.0,0.0,0.0,0.0,0.0,200.0
27.0,0.0,0.0,0.0,0.0,3.952381,200.0
28.0,0.0,0.0,0.0,0.0,0.0,200.0
29.0,0.0,0.0,0.0,0.0,0.0,200.0
30.0,0.0,0.0,0.0,0.0,0.0,200.0
31.0,0.0,0.0,0.0,0.0,0.0,200.0
32.0,0.0,0.0,0.0,0.0,0.0,200.0
33.0,0.0,0.0,0.0,0.0,0.0,200.0
34.0,0.0,0.0,0.0,0.0,0.0,200.0
35.0,0.0,0.0,0.0,0.0,0.0,200.0
36.0,0.0,0.0,0.0,0.0,0.0,200.0
37.0,0.0,0.0,0.0,0.0,0.0,200.0
38.0,0.0,0.0,0.0,0.0,0.0,200.0
39.0,0.0,0.0,0.0,0.0,0.0,200.0
40.0,0.391734,0.391734,0.391734,0.391734,4.4241714,200.0
41.0,0.0,0.0,0.0,0.0,0.0,200.0
42.0,0.0,0.0,0.0,0.0,0.0,200.0
43.0,0.0,0.0,0.0,0.0,0.0,200.0
44.0,0.0,0.0,0.0,0.0,0.0,200.0
45.0,0.0,0.0,0.0,0.0,0.0,200.0
