Samples,T1,T2,T5,T10,T15,L Max
1.0,0.0,0.0,0.0,0.0,0.9566764,12800.0
2.0,0.0,0.0,0.0,0.0,0.0,12800.0
3.0,41.05326,41.05326,41.539635,41.563282,51.132717,12800.0
4.0,0.0,0.0,0.0,0.0,0.0,12800.0
5.0,63.658005,63.658005,63.7275,63.877815,64.29866,12800.0
6.0,8.521746,8.521746,8.521746,8.82982,21.521832,12800.0
7.0,63.242348,63.242348,63.242348,63.242348,66.15821,12800.0
8.0,0.0,0.0,0.0,0.0,0.24505353,12800.0
9.0,2.2607548,2.2607548,2.2607548,2.6333144,3.1301963,12800.0
10.0,4.037996,4.037996,4.037996,4.4521246,5.6840353,12800.0
11.0,241.47394,241.47394,241.57697,241.57697,241.88823,12800.0
12.0,0.0,0.0,0.0,0.14326876,11.011927,12800.0
13.0,0.0,0.0,0.0,0.0,0.0,12800.0
14.0,0.0,0.0,0.0,3.6562066,3.6562066,12800.0
15.0,4.68608,4.68608,4.68608,4.8357162,356.11115,12800.0
16.0,0.0,0.0,0.0,1.4878403,5.8585873,12800.0
17.0,0.0,0.0,0.0,0.43816757,0.43816757,12800.0
18.0,0.0,0.0,0.0,0.0,7.397049,12800.0
19.0,43.397083,43.421818,45.218887,47.73329,47.73329,12800.0
20.0,30.450989,30.450989,30.875324,36.55446,63.450264,12800.0
21.0,7.729015,7.729015,7.915855,22.368265,22.368265,12800.0
22.0,0.0,0.0,0.0,0.0,0.035231918,12800.0
23.0,0.0,0.0,0.0,0.0,0.0,12800.0
24.0,41.12925,41.12925,41.12925,41.79323,42.52687,12800.0
25.0,0.0,0.0,0.23214522,7.577492,7.577492,12800.0
26.0,25.174816,25.174816,25.174816,25.174816,27.645912,12800.0
27.0,89.98588,90.0165,91.123795,91.17853,91.17853,12800.0
28.0,0.0,0.0,0.0,0.0,0.0,12800.0
29.0,114.136856,114.136856,114.136856,114.42144,114.42144,12800.0
30.0,4.589381,4.589381,4.589381,4.8637877,5.280789,12800.0
31.0,94.28548,94.28548,94.28548,94.28548,95.398994,12800.0
32.0,73.03699,73.03699,73.13718,73.294136,74.21309,12800.0
33.0,17.150547,17.150547,17.150547,17.150547,17.837013,12800.0
34.0,0.0,0.0,0.0,0.0,0.0,12800.0
35.0,0.0,0.0,0.0,0.0,0.9376892,12800.0
36.0,21.286015,21.286015,21.596376,21.98097,21.98097,12800.0
37.0,0.0,0.0,0.0,0.0,0.0,12800.0
38.0,8.957815,8.957815,8.957815,10.598909,16.09178,12800.0
39.0,0.0,0.0,0.12724581,1.7093031,1.7093031,12800.0
40.0,0.0,0.0,0.0,0.0,0.0,12800.0
41.0,1.8602709,1.8602709,1.8602709,6.8771067,6.8771067,12800.0
42.0,24.580475,24.580475,24.580475,24.777393,44.40316,12800.0
43.0,157.54594,157.54594,157.54594,158.52147,159.39919,12800.0
44.0,0.0,0.0,0.0,0.0,0.0,12800.0
45.0,93.45449,93.5006,93.5006,93.5006,93.50893,12800.0
46.0,0.0,0.0,0.0,0.0,0.0,12800.0
47.0,0.0,0.0,0.0,0.0,0.0,12800.0
48.0,0.0,0.0,0.0,0.0,0.0,12800.0
49.0,71.00647,71.00647,71.00647,71.00647,73.05036,12800.0
50.0,0.0,0.0,0.0,0.0,0.0,12800.0
51.0,1.564094,1.564094,1.9078213,1.9078213,2.17763,12800.0
52.0,105.99282,107.08189,107.08189,108.97637,108.97637,12800.0
53.0,33.479897,33.479897,33.68274,33.68274,33.928673,12800.0
54.0,45.82809,45.82809,45.82809,45.82809,46.852623,12800.0
55.0,0.0,0.0,0.0,0.0,0.0,12800.0
56.0,0.0,0.0,0.0,0.18311127,1.0835837,12800.0
57.0,121.27569,121.27569,121.358826,122.17407,155.19356,12800.0
58.0,0.9234914,0.9234914,0.9234914,1.5361209,14.194933,12800.0
59.0,0.0,0.0,0.0,0.0,0.0046736,12800.0
60.0,0.0,0.0,0.21476412,0.3815025,1.9131246,12800.0
61.0,134.7809,135.2225,135.2367,136.0941,136.0941,12800.0
62.0,170.91762,170.91762,170.91762,170.91762,172.3812,12800.0
63.0,67.15266,67.26994,67.38119,68.344955,75.196205,12800.0
64.0,0.0,0.0,0.0,0.0,0.0,12800.0
65.0,1.9468508,1.9468508,2.3048644,2.3867984,31.292799,12800.0
66.0,16.440067,16.440067,16.72782,17.691647,19.794697,12800.0
67.0,0.0,0.0,0.0,0.0,0.0,12800.0
68.0,0.0,0.0,0.0,0.37772465,17.910162,12800.0
69.0,0.0,0.0,0.0,0.0,115.78311,12800.0
70.0,0.86339927,0.86339927,1.0748675,1.9643385,138.93979,12800.0
71.0,0.0,0.0,0.0,0.0,0.0,12800.0
72.0,0.0,0.0,0.0,0.0,0.0,12800.0
73.0,0.0,0.0,0.0,0.35890532,3.2436354,12800.0
74.0,0.0,0.0,0.0,0.0,0.0,12800.0
75.0,66.81754,66.88553,66.887505,67.3277,67.58504,12800.0
76.0,0.0,0.0,0.0,0.0,2.187441,12800.0
77.0,0.0,0.0,0.0,0.0,0.0045048,12800.0
78.0,5.8373103,5.8373103,5.8373103,7.1237326,7.1237326,12800.0
79.0,7.7724547,7.852073,8.785305,8.879868,12.07332,12800.0
80.0,0.0,0.0,0.0,0.0,0.0,12800.0
81.0,15.672097,15.672097,15.969842,16.150818,16.416336,12800.0
82.0,23.377188,23.638813,23.640839,24.387012,25.401459,12800.0
83.0,39.20931,39.20931,39.20931,39.588852,44.956825,12800.0
84.0,27.346144,27.346144,27.346144,27.346144,27.76317,12800.0
