Arrival rate,N - small,N - big,Nw- small,Nw - big,Ns- small,Ns - big,Rt,Rt- small,Rt - big,Wt,Wt- small,Wt - big,Utilization
0.0414705728588346,0.03748481877050618,0.04149466721898323,0.0001613031952719393,2.409436052580861e-05,0.037323515575234244,0.04147057285845743,1.9044705810632223,1.0043217578804913,10.0058099897078,0.0044705810172634775,0.0043217578193206945,0.005809989798748517,0.02102687639466023
0.0829411457176692,0.07594688641688777,0.08313686448944989,0.0012998552592965932,0.00019571877373490508,0.07464703115759118,0.082941145715715,1.918031750463842,1.0174133552404092,10.02359730747474,0.018031750346473592,0.01741335508382035,0.02359730771035281,0.042053752788776176
0.12441171857650377,0.116398166671487,0.12508138574660305,0.004427619894310635,0.000669667179975854,0.11197054677717637,0.12441171856662718,1.9409711173598043,1.0395427197810412,10.053826695568675,0.04097111697040054,0.03954271926016344,0.05382669636253434,0.06308062918001028
0.1658822914353384,0.15990549028563347,0.16749023732486268,0.010611427867038559,0.0016079459112850504,0.1492940624185949,0.16588229141357763,1.9736629195173399,1.0710773612220974,10.09693294417452,0.07366291888418224,0.07107736037283158,0.0969329454863381,0.08410750556943408
0.20735286429417296,0.20760897186275726,0.21053309989443053,0.02099139381226459,0.003180235632586895,0.18661757805049267,0.20735286426184363,2.0165724412852417,1.112483476841685,10.153373121277253,0.11657244054540296,0.11248347584640361,0.15337312283639706,0.10513438195944129
0.24882343715300753,0.2607412470636371,0.25438863394451755,0.036800152997609525,0.00556519690250514,0.22394109406602755,0.24882343704201243,2.070262700741445,1.164329614815277,10.223660474076961,0.17026269866235788,0.16432961200953564,0.22366047853775797,0.12616125831839706
0.29029401001184213,0.3206484651950888,0.2992463847626623,0.05938385558510283,0.008952374858351863,0.261264609609986,0.2902940099043105,2.135403517049709,1.2272939163452041,10.308389923390257,0.23540351535557694,0.2272939140512535,0.3083899270944883,0.14718813471473324
0.3317645828706767,0.3888139016655195,0.3453092054979229,0.09022577576034597,0.013544622868285124,0.29858812590517353,0.33176458262963776,2.2127832356644492,1.302174700376089,10.408260053259692,0.312783232407545,0.30217469595004415,0.4082600605250524,0.16821501104845304
0.37323515572951127,0.4668850941960784,0.3927962072264746,0.13097345153960244,0.019561051960911034,0.33591164265647594,0.3732351552655635,2.303323489831103,1.3899044819598234,10.524094560672618,0.4033234843761822,0.3899044745176408,0.5240945731030549,0.18924188734103548
0.41470572858834587,0.5567055667288017,0.4419462968869151,0.18347040909941856,0.02724056865770358,0.3732351576293831,0.4147057282292115,2.408097585280815,1.491567871308066,10.65686501103556,0.5080975815655602,0.49156786621778503,0.656865019695537,0.2102687637835853
0.45617630144718047,0.6603524240530679,0.49302241154022713,0.24979374966873946,0.036846110687100676,0.41055867438432847,0.4561763008531263,2.5283532527540595,1.608424009065881,10.807716445947666,0.6283532473004398,0.6084240015593632,0.8077164589701292,0.23129564007019077
0.49764687430601506,0.7801814071543701,0.5463166141110727,0.33229921560296205,0.048669740725305104,0.44788219155140807,0.4976468733857675,2.665540747372899,1.7419344417271756,10.977997498184417,0.7655407398258874,0.7419344312869425,0.9779975166763917,0.25232251631437913
0.5391174471648498,0.9188814755414731,0.6021562567126854,0.43367576633959665,0.06303881090668804,0.48520570920187656,0.5391174458059973,2.8213476307492975,1.893797766400447,11.169296409888954,0.9213476207428337,0.893797752481584,1.1692964350940813,0.2733493925061383
0.5805880200236843,1.0795415545938376,0.6609115061039821,0.5570123316712218,0.08032348709011702,0.5225292229226158,0.5805880190138653,2.9977419455310503,2.065992708851353,11.383485075648329,1.0977419388283962,1.0659926994713993,1.383485093041368,0.29437626906101555
0.6220585928825189,1.2657329370067743,0.7230046024164642,0.7058801965346453,0.10094601098761588,0.5598527404721291,0.6220585914288485,3.197026071463382,2.260831931427289,11.622773331788219,1.2970260627436383,1.2608319191421622,1.6227733551569223,0.31540314524936275
0.6635291657413535,1.481611959266747,0.7889213825149346,0.8844357005743041,0.12539221884366952,0.597176258692443,0.663529163671265,3.421904354791761,2.481029614511467,11.889777017314408,1.521904343556179,1.4810295985610258,1.889777048512559,0.3364300213566673
0.704999738600188,1.7320491881656848,0.8592257328211979,1.0975494102465604,0.15422599717577712,0.6344997779191243,0.7049997356454208,3.675568626638057,2.7297869667059174,12.18760356602732,1.775568612135658,1.7297869459352948,2.187603607938927,0.3574568973377036
0.7464703114590227,2.022793588539569,0.9345779302144143,1.3509702897623157,0.18810762304679948,0.6718232987772534,0.7464703071676148,3.9618072860441256,3.0109013007063323,12.519961154084262,2.061807267057804,2.010901273222716,2.519961211573592,0.3784837731055047
